Montopolis,,,,,,,,,,,
,2020,2030,2040,2050,2060,2070,2080,2090,2100,,
SmallRes,6%,15%,15%,6%,9%,9%,10%,15%,15%,100%,
LargeRes,6%,15%,15%,6%,9%,9%,10%,15%,15%,100%,
Com/MU,6%,15%,15%,6%,9%,9%,10%,15%,15%,100%,
,,,,,,,,,,,
Brentwood,,,,,,,,,,,
,2020,2030,2040,2050,2060,2070,2080,2090,2100,,
SmallRes,6%,6%,6%,9%,9%,12%,12%,20%,20%,100%,
LargeRes,6%,6%,6%,9%,9%,12%,12%,20%,20%,100%,
Com/MU,6%,6%,6%,9%,9%,12%,12%,20%,20%,100%,
,,,,,,,,,,,
South Menchaca,,,,,,,,,,,
,2020,2030,2040,2050,2060,2070,2080,2090,2100,,
SmallRes,6%,6%,6%,9%,9%,12%,12%,20%,20%,100%,
LargeRes,6%,6%,6%,9%,9%,12%,12%,20%,20%,100%,
Com/MU,6%,6%,6%,9%,9%,12%,12%,20%,20%,100%,
,,,,,,,,,,,
Max Rank Lookup Tables,,,,,,,,,,,
,Count,Montopolis,,,,,,,,,
Small Res,1909, 114.5 , 400.89 , 687.24 , 801.78 , 973.59 ," 1,145.40 "," 1,336.30 "," 1,622.65 "," 1,909.00 ",
Large Res,22, 1.3 , 4.62 , 7.92 , 9.24 , 11.22 , 13.20 , 15.40 , 18.70 , 22.00 ,
Mixed Use,98, 5.9 , 20.58 , 35.28 , 41.16 , 49.98 , 58.80 , 68.60 , 83.30 , 98.00 ,
Total,2029,2030,2040,2050,2060,2070,2080,2090,2100,2100,
Non-Scheduled,114,,,,,,,,,,
,,,,,,,,,,,
,Count,Brentwood,,,,,,,,,
Small Res,2130, 127.8 , 255.60 , 383.40 , 575.10 , 766.80 ," 1,022.40 "," 1,278.00 "," 1,704.00 "," 2,130.00 ",
Large Res,64, 3.8 , 7.68 , 11.52 , 17.28 , 23.04 , 30.72 , 38.40 , 51.20 , 64.00 ,
Mixed Use,138, 8.3 , 16.56 , 24.84 , 37.26 , 49.68 , 66.24 , 82.80 , 110.40 , 138.00 ,
Total,2332,2030,2040,2050,2060,2070,2080,2090,2100,2100,
Non-Scheduled,248,,,,,,,,,,
,,,,,,,,,,,
,Count,South Menchaca,,,,,,,,,
Small Res,2042, 122.5 , 245.04 , 367.56 , 551.34 , 735.12 , 980.16 ," 1,225.20 "," 1,633.60 "," 2,042.00 ",
Large Res,7, 0.4 , 0.84 , 1.26 , 1.89 , 2.52 , 3.36 , 4.20 , 5.60 , 7.00 ,
Mixed Use,35, 2.1 , 4.20 , 6.30 , 9.45 , 12.60 , 16.80 , 21.00 , 28.00 , 35.00 ,
Total,2084,2030,2040,2050,2060,2070,2080,2090,2100,2100,
Non-Scheduled,294,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
