"agentPopID","dataCategory","futureCategory","InDate","OutDate","WGSlong","WGSlat","neighborhood","occupantType","PropValue","Insolation","PVadopter","PVDate","STadopter","STDate","HVACadopter","HVACDate","SIA","U"
1,"actual-noData","stay",2000-01-01,2050-12-31,-97.8663536730827,30.3719444106247,"A","Own",6589845.27554829,10091963.737272,0,NA,0,NA,0,NA,NA,NA
2,"actual-noData","stay",2000-01-01,2050-12-31,-97.9389616110649,30.3743341040492,"P","Rent",225133.476033807,10941836.1768644,0,NA,0,NA,0,NA,NA,NA
3,"actual-TechData","stay",2000-01-01,2050-12-31,-97.7455726518436,30.1809694496287,"A","Own",3777211.67304087,10391824.9871103,0,NA,1,2013-06-09,1,2002-10-23,NA,NA
4,"actual-TechData","stay",2000-01-01,2050-12-31,-98.0066240652652,30.4058802595567,"M","Rent",3329489.09245897,10643035.3697286,0,NA,0,NA,0,NA,NA,NA
5,"actual-noData","stay",2000-01-01,2050-12-31,-97.9329237921369,30.3482959540329,"P","Rent",7378689.6262411,10061128.0225367,0,NA,0,NA,0,NA,NA,NA
6,"actual-TechData","stay",2000-01-01,2050-12-31,-97.9890091721307,30.0864346981038,"A","Rent",9155008.01656861,10585392.1912348,0,NA,1,2009-05-31,0,NA,NA,NA
7,"actual-survey","stay",2000-01-01,2050-12-31,-98.0206120086784,30.2002921856719,"A","Own",574698.130406905,10350898.3301818,1,2014-07-11,1,2006-03-22,1,2011-04-30,-0.654462889768183,0.345537110231817
8,"future","stay",2021-04-26,2050-12-31,-97.6131602288788,30.2384529797508,"M","Own",3258773.84938765,10178545.6528489,0,NA,0,NA,0,NA,NA,NA
9,"future","stay",2024-01-31,2050-12-31,-97.7940327785483,30.3765583438592,"P","Own",6880534.12487032,10535693.9905925,0,NA,0,NA,0,NA,NA,NA
10,"actual-noData","stay",2000-01-01,2050-12-31,-97.7581620741456,30.414584794765,"B","Own",1524261.87124336,10449900.406564,0,NA,0,NA,0,NA,NA,NA
11,"future","stay",2040-03-07,2050-12-31,-97.7130701455261,30.1718887221762,"P","Own",5838782.31329378,10183888.1997247,0,NA,0,NA,0,NA,NA,NA
12,"actual-noData","stay",2000-01-01,2050-12-31,-97.6638278183585,30.0845726840921,"A","Own",878278.46230939,10922565.3671932,0,NA,0,NA,0,NA,NA,NA
13,"actual-noData","future-out",2000-01-01,2050-12-31,-97.5425206662993,30.1526854301183,"A","Own",8048673.94056171,10835295.7750244,0,NA,0,NA,0,NA,NA,NA
14,"actual-noData","stay",2000-01-01,2050-12-31,-97.711107215577,30.2114256466885,"B","Own",4185272.48864062,10515675.4104282,0,NA,0,NA,0,NA,NA,NA
